22,22,
7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,
0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,
0,13,14,13,13,13,13,13,17,18,13,13,14,13,17,18,13,14,14,14,13,1,
0,14,17,18,13,13,17,18,15,16,13,13,14,14,15,16,13,13,13,13,14,1,
0,13,15,16,17,18,15,16,13,13,13,13,13,13,13,13,13,13,17,18,14,1,
0,13,13,14,15,16,13,13,13,13,13,13,13,13,13,13,17,18,15,16,13,1,
0,14,13,13,13,13,14,13,17,18,13,17,18,13,14,14,15,16,13,14,13,1,
0,13,17,18,13,13,13,14,15,16,13,15,16,14,14,13,13,13,13,14,13,1,
0,14,15,16,13,17,18,14,13,13,13,13,14,14,13,13,13,13,13,13,13,1,
0,13,13,13,13,15,16,13,13,17,18,13,13,13,14,17,18,13,13,13,13,1,
0,14,13,13,13,13,13,13,13,15,16,17,18,13,14,15,16,13,13,13,13,1,
0,17,18,13,17,18,13,13,17,18,13,15,16,14,13,13,13,13,13,17,18,1,
0,15,16,14,15,16,13,13,15,16,13,13,13,13,13,13,13,13,13,15,16,1,
0,13,13,13,13,13,17,18,14,13,13,14,13,13,13,13,13,13,17,18,13,1,
0,13,14,14,13,13,15,16,13,13,17,18,13,13,13,17,18,13,15,16,13,1,
0,14,17,18,14,14,13,14,14,13,15,16,17,18,13,15,16,13,14,14,13,1,
0,13,15,16,14,13,14,13,13,17,18,13,15,16,13,13,13,13,13,14,13,1,
0,17,18,13,13,14,14,13,13,15,16,13,14,13,13,13,17,18,13,17,18,1,
0,15,16,13,17,18,13,17,18,13,13,13,13,14,13,13,15,16,13,15,16,1,
0,14,13,13,15,16,13,15,16,14,14,17,18,14,14,17,18,14,13,17,18,1,
0,13,14,13,14,13,13,14,13,14,13,15,16,13,14,15,16,13,13,15,16,1,
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,
